Name,Address,Rating,Types,Latitude,Longitude,Image Path,City
Medallion Banquet,"Plot Street Number 35, Block-6 Block 6 P.E.C.H.S., Karachi",4.3,"point_of_interest, establishment",24.8633313,67.072311,place_images/Medallion Banquet.jpg,Karachi
Ballyfin - Affordable Luxury Events,"Plot 26B Shahrah-e-Faisal Rd, Shahrah-e-Faisal Block 6 P.E.C.H.S., Karachi",4.5,"point_of_interest, establishment",24.8619684,67.07218619999999,place_images/Ballyfin - Affordable Luxury Events.jpg,Karachi
Lines House,"A-100, Lines House, Wasim Bagh, Block 13 D 2 Gulshan-e-Iqbal, Karachi",4.3,"point_of_interest, establishment",24.9095008,67.0711603,place_images/Lines House.jpg,Karachi
Courtyard Venues,"B.YJ.C, 112/3, Main Alamgir Rd, Hussaini Society Karachi",4.5,"point_of_interest, establishment",24.8813377,67.0690795,place_images/Courtyard Venues.jpg,Karachi
Pearl Marquee,"Q3XH+GJV, DHA Karachi Phase VIII Zone A Zone A Phase 8 Defence Housing Authority, Karachi",4.5,"point_of_interest, establishment",24.799125,67.07935599999999,place_images/Pearl Marquee.jpg,Karachi
Naveed Garden,"W3GQ+HPG, Block 2 Gulshan-e-Iqbal, Karachi",3.5,"point_of_interest, establishment",24.9264375,67.08931249999999,place_images/Naveed Garden.jpg,Karachi
Roop Garden,"X324+22Q, 1st St, Block N North Nazimabad Town, Karachi",4.4,"point_of_interest, establishment",24.9500907,67.0551127,place_images/Roop Garden.jpg,Karachi
The Lounge Wedding and Events,"B-99, 4th floor and Rooftop, Block H North Nazimabad Town, Karachi",4.1,"point_of_interest, establishment",24.9378687,67.0537066,place_images/The Lounge Wedding and Events.jpg,Karachi
Erum Lawn Sunset Club,"Khayaban-e-Jami, D.H.A. Phase 4 Phase 2 Ext Defence Housing Authority, Karachi",3.9,"point_of_interest, establishment",24.8282006,67.05825820000001,place_images/Erum Lawn Sunset Club.jpg,Karachi
Nighat Palace,"W3GR+F6F, Rashid Minhas Rd, Block 3 Gulshan-e-Iqbal, Karachi",3.5,"point_of_interest, establishment",24.9261674,67.090513,place_images/Nighat Palace.jpg,Karachi
D Venue,"V3FF+P4M, hillpark Karachi Memon Society Karachi",4.3,"point_of_interest, establishment",24.8743367,67.0728127,N/A,Karachi
PAF Complex Marriage Lawn,"V37P+V8V, PAF complex near City School PAF Chapter, Falcon Complex, Karachi",4.1,"point_of_interest, establishment",24.8647415,67.08580359999999,place_images/PAF Complex Marriage Lawn.jpg,Karachi
The Manor Banquet,"V39Q+M4X, Shahrah-e-Faisal Rd, Darwaish Colony, Karachi",4.1,"point_of_interest, establishment",24.8692402,67.08787319999999,place_images/The Manor Banquet.jpg,Karachi
The Grand Banquet,"D 2, Block I North Nazimabad Town, Karachi",4.0,"point_of_interest, establishment",24.9440783,67.0481372,place_images/The Grand Banquet.jpg,Karachi
The Court Marquee,"B-2 Shahrah-e-Faisal Rd, Block A KDA Scheme 1, Karachi",4.5,"point_of_interest, establishment",24.8706103,67.0882973,place_images/The Court Marquee.jpg,Karachi
Akacia Banquet,"97-B Shahrah-e-Faisal Rd, beside Embassy Inn, Sindhi Muslim Cooperative Housing Society Block B Sindhi Muslim CHS (SMCHS), Karachi",4.4,"point_of_interest, establishment",24.8591645,67.0567781,place_images/Akacia Banquet.jpg,Karachi
Roses Banquet Hall,"Imam Clinic، 5 Star Chaurangi, Shahrah-e-Sher Shah Suri، Near Block L North Nazimabad Town, Karachi",4.1,"point_of_interest, establishment",24.943692,67.0490504,place_images/Roses Banquet Hall.jpg,Karachi
Carnation Banquet Hall,"V38H+5P4, Karachi Memon Co-operative Housing Society Umar Colony, Karachi",4.1,"point_of_interest, establishment",24.865447,67.0793119,place_images/Carnation Banquet Hall.jpg,Karachi
Askari Event Place - Banquet & lawns,"Old Sabzi Mandi، Main Main University Rd، Askari Park, Karachi",4.3,"point_of_interest, establishment",24.892517,67.06179039999999,place_images/Askari Event Place - Banquet & lawns.jpg,Karachi
Skyloft Banquet,"Skyloft Banquet, The Place, Kh-Shaheen, D.H.A. Phase 8 Zone B Phase 8 Defence Housing Authority, Karachi",4.6,"point_of_interest, establishment",24.7793764,67.0896095,place_images/Skyloft Banquet.jpg,Karachi
Anas rent a car Karachi,"Azizabad House 1900 3, Karachi",5.0,"car_rental, airport, point_of_interest, establishment",24.9162588,67.0651567,place_images/Anas rent a car Karachi.jpg,Karachi
Nexus Event & Decoration,"Nazimabad Rd Number 3, Nazimabad 3 Block 3 Nazimabad, Karachi",4.9,"point_of_interest, establishment",24.9165344,67.0273514,place_images/Nexus Event & Decoration.jpg,Karachi
Karachi Balloons & Decor (Event Planners),"21st Commercial St, D.H.A. Phase 4 Phase 4 Defence Housing Authority, Karachi",4.5,"home_goods_store, food, point_of_interest, store, establishment",24.8285182,67.0675232,place_images/Karachi Balloons & Decor (Event Planners).jpg,Karachi
Fatima's decor Karachi,"6, Street 34 dha phase 6, Khayaban-e-Rahat, Phase Defence Housing Authority, Karachi",5.0,"point_of_interest, establishment",24.8110692,67.07086,place_images/Fatima's decor Karachi.jpg,Karachi
A.One Decoration Services,"Cutchi Memon Cooperative Housing Society Khokan CHS, Karachi",4.5,"point_of_interest, establishment",24.8846409,67.0732147,place_images/A.One Decoration Services.jpg,Karachi
Taj Decoration service,"Hanfia masjid, Road, Agra Taj Colony Karachi",4.0,"point_of_interest, establishment",24.8702186,66.98049520000001,place_images/Taj Decoration service.jpg,Karachi
