Name,Address,Rating,Types,Latitude,Longitude,Image Path,City
Al Barkat Catering,"Shop No. 5, MashAllah Corner, opp. Laraib Garden, Block 1 Gulshan-e-Iqbal, Karachi",4.7,"point_of_interest, food, establishment",24.9216152,67.08118999999999,place_images_cat/Al Barkat Catering.jpg,Karachi
Lazeez Catering,"13 Ghazi Salahuddin Road, Adamjee Nagar Society Block B Adamjee Nagar Society, Karachi",4.4,"point_of_interest, food, establishment",24.8810669,67.0842553,place_images_cat/Lazeez Catering.jpg,Karachi
Fusion Bites (homemade food & catering),"Bahadurabad BMCHS Sharafabad, Karachi",4.9,"restaurant, meal_takeaway, meal_delivery, store, point_of_interest, food, establishment",24.8822506,67.067286,place_images_cat/Fusion Bites (homemade food & catering).jpg,Karachi
Bukhari Catering,"New Anjam Colony Anjum Colony, Karachi",4.7,"point_of_interest, food, establishment",24.9062987,66.9656482,place_images_cat/Bukhari Catering.jpg,Karachi
Ghanchi Catering,"1725/225 madina colony baldia town 4, 1/2, Mohajir Camp Gulshan e Habib, Karachi",4.7,"point_of_interest, food, establishment",24.9076353,66.9638456,place_images_cat/Ghanchi Catering.jpg,Karachi
Aayat Catering Service,"A 138, Plot A 161, Block 1 Gulshan-e-Iqbal, Karachi",4.9,"point_of_interest, food, establishment",24.9215392,67.0813441,place_images_cat/Aayat Catering Service.jpg,Karachi
The Heaven Catering,"Block Shop No 16, Shamim Residency, Shop No 16, 9 Block, Block 9 Yaseenabad, Karachi",5.0,"point_of_interest, food, establishment",24.9241702,67.0786032,place_images_cat/The Heaven Catering.jpg,Karachi
MEHDI KITCHEN SERVICES and FOOD CENTRE,"Tailor St, Bazaar Soldier, Karachi",4.6,"point_of_interest, food, establishment",24.8747841,67.0312551,place_images_cat/MEHDI KITCHEN SERVICES and FOOD CENTRE.jpg,Karachi
ShahJee Catering & Pakwan Center,"Glamour Tower, Block 13D-2 Gulshan-e-Iqbal, Karachi",4.8,"point_of_interest, food, establishment",24.9102105,67.0729328,place_images_cat/ShahJee Catering & Pakwan Center.jpg,Karachi
MEEZAN CATERING SERVICE,"C-190/1, Block D North Nazimabad Town, Karachi",5.0,"point_of_interest, food, establishment",24.9426774,67.03623189999999,N/A,Karachi
M.Z catering & Decoration,"DHA Phase 5 Badar Commercial Area Defence V Defence Housing Authority, Karachi",4.7,"point_of_interest, food, establishment",24.7966875,67.0450625,place_images_cat/M.Z catering & Decoration.jpg,Karachi
Al Mansoor Catering Services,"Federal B Area Block 16 Gulberg Town, Karachi",4.3,"point_of_interest, food, establishment",24.9399375,67.0813125,place_images_cat/Al Mansoor Catering Services.jpg,Karachi
Catering Services by LalQila,"Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi",4.5,"point_of_interest, food, establishment",24.8723935,67.09085019999999,N/A,Karachi
Haji Ali Kitchen - Catering Services & Event Planners,"Al-Ahram Plaza, Shop # 21- 22- SB- 71, Five Star Plaza Behind 13C,, Block 13 -A Main University Rd, Block 13 C Gulshan-e-Iqbal, Karachi",4.1,"point_of_interest, food, establishment",24.9098398,67.0847721,place_images_cat/Haji Ali Kitchen - Catering Services & Event Planners.jpg,Karachi
SHAHZAD CATERING,"Block 9, Federal B Area, Karachi, Sindh",4.4,"point_of_interest, food, establishment",24.9267184,67.07261059999999,place_images_cat/SHAHZAD CATERING.jpg,Karachi
Rashid Pakwan & Catering Service,"Shop # E 36, near Red Apple, Block E North Nazimabad Town, Karachi",4.2,"point_of_interest, food, establishment",24.9383117,67.0422452,place_images_cat/Rashid Pakwan & Catering Service.jpg,Karachi
Hanif Rajput Caterers Karachi,"Office 2 & 3, Mezzanine Floor, Society Apartments Society Apartments, Kashmir Rd, Block 2 PECHS, Karachi",4.0,"point_of_interest, food, establishment",24.8711263,67.048372,place_images_cat/Hanif Rajput Caterers Karachi.jpg,Karachi
Al Alwaan Foods,"Shop#2 Ground Floor, Plot No,31-C, Jami No Phase-7 Khayaban-e-Ittehad, 2nd Commercial ST, Phase 2 Commercial Area Defence Housing Authority, Karachi",4.7,"point_of_interest, food, establishment",24.8305397,67.0730725,place_images_cat/Al Alwaan Foods.jpg,Karachi
Dilpasand Catering,"Block 16, Gulberg, Karachi, Karachi City",5.0,"point_of_interest, food, establishment",24.9397494,67.0815061,place_images_cat/Dilpasand Catering.jpg,Karachi
Zamzama Catering Services,"Plot No. BS-2, Shop #07, Rajput Arcade, Block 18 Gulberg Town, Karachi",5.0,"point_of_interest, food, establishment",24.9455771,67.0770915,place_images_cat/Zamzama Catering Services.jpg,Karachi
